Date,DMA,Trials,Time,Sales
2018-05-13,VA_Spotsylvania_3_1_1_3,0.049809565078568659,132,6552
2018-05-13,IL_Lake_10_7_1_3,0.040442549177589562,132,4116
2018-05-13,MA_Middlesex_22_9_1_1,0.055228955937869223,132,3833
2018-05-13,NC_Pasquotank_1_1_1_1,0.036239720343032467,132,1441
2018-05-13,TN_Sullivan_4_3_2_2,0.056527259290140415,132,2983
2018-05-13,NY_NewYork_27_9_8_1,0.305737878467076,132,11552
2018-05-13,CO_Pitkin_3_1_1_3,0.030508474576271188,132,954
2018-05-13,CA_Sacramento_15_4_2_2,0.04615765498118439,132,4661
2018-05-13,TX_Hays_5_4_4_1,0.039288963413546443,132,4405
2018-05-13,CA_SantaBarbara_13_4_2_3,0.026240814747969576,132,4071
2018-05-13,AZ_Navajo_5_5_1_1,0.055745314415834649,132,1273
2018-05-13,CA_Riverside_32_11_10_4,0.052470759496407546,132,14562
2018-05-13,VA_Lynchburg_1_1_1_1,0.076872153904792476,132,3832
2018-05-13,MS_Madison_2_1_1_2,0.082603716078713474,132,8727
2018-05-13,MA_Plymouth_8_7_5_1,0.034010058881256133,132,1109
2018-05-13,CA_Alameda_23_5_5_1,0.043736745754109949,132,4826
2018-05-13,TX_Guadalupe_6_3_1_3,0.0770794373526303,132,6636
2018-05-13,FL_Miami-Dade_26_7_1_6,0.088646474802061073,132,17634
2018-05-13,TX_Tarrant_29_9_3_3,0.053775899329501435,132,10675
2018-05-13,CA_SanJoaquin_6_4_3_1,0.034499260882049534,132,3244
2018-05-13,PA_Allegheny_24_5_5_1,0.019258506856272218,132,948
2018-05-13,VA_Chesapeake_4_3_3_1,0.061380315130584936,132,2275
2018-05-13,TX_Harris_42_15_10_4,0.054270830566800848,132,14304
2018-05-13,TN_Anderson_2_1_1_2,0.043982248128767304,132,3320
2018-05-13,NJ_Somerset_7_4_3_2,0.0663594224519154,132,2491
2018-05-13,TN_Knox_9_2_2_5,0.061389303665692237,132,11676
2018-05-13,GA_Towns_1_1_1_1,0.025817819658316095,132,337
2018-05-13,CO_Douglas_4_4_3_1,0.061179112857944973,132,5448
2018-05-13,MA_Plymouth_8_7_2_2,0.008859649122807017,132,303
2018-05-13,KY_Mason_1_1_1_1,0.03780317814329523,132,678
2018-05-13,MN_Ramsey_6_4_4_1,0.0285307171986832,132,1742
2018-05-13,TX_Hudspeth_1_1_1_1,0.025703652012095835,132,1989
2018-05-13,OK_Tulsa_11_3_1_1,0.0420259967504062,132,4035
2018-05-13,NH_Rockingham_5_3_3_1,0.016645910152784223,132,2045
2018-05-13,MI_Berrien_4_4_2_1,0.017240222714161133,132,257
2018-05-13,OH_Summit_11_6_6_1,0.039062922685711196,132,2166
2018-05-13,SD_Codington_1_1_1_1,0.021698653680893725,132,606
2018-05-13,NY_Ontario_4_3_2_1,0.0399801268375369,132,1368
2018-05-13,MN_St.Louis_8_5_1_4,0.020984990014816723,132,1303
2018-05-13,CT_Hartford_13_7_3_1,0.02614185431671073,132,1147
2018-05-13,GA_Dawson_1_1_1_1,0.052303359485013079,132,1560
2018-05-13,CO_Broomfield_1_1_1_1,0.10919824725445978,132,5956
2018-05-13,NC_Cabarrus_3_1_1_3,0.033634916072398109,132,7372
2018-05-13,GA_Cobb_10_3_3_1,0.057874404815380469,132,6442
2018-05-13,NC_Wake_19_6_1_1,0.037462641960549908,132,2507
2018-05-13,IA_Dickinson_3_1_1_3,0.0349597291934166,132,599
2018-05-13,MD_AnneArundel_6_4_1_1,0.041461898450603454,132,3535
2018-05-13,FL_Orange_19_8_4_1,0.08627844249256518,132,2495
2018-05-13,IL_Kane_6_4_2_1,0.037354066516236635,132,3046
2018-05-13,CA_Mendocino_5_5_5_1,8.9212410501193311,132,3738
2018-05-13,SC_Lancaster_2_1_1_2,0.021205222115902818,132,1928
2018-05-13,IL_Will_6_6_5_1,0.027395396920398281,132,3021
2018-05-13,GA_Clarke_4_1_1_4,0.059321676137083224,132,7026
2018-05-13,VA_Winchester_1_1_1_1,0.035348992170581378,132,1061
2018-05-13,TX_Harris_42_15_1_3,0.0358595770128109,132,8515
2018-05-13,FL_Polk_7_4_3_1,0.052915041458941443,132,4097
2018-05-13,CA_ContraCosta_15_6_2_2,0.038572444840263488,132,7103
2018-05-13,MN_Hennepin_19_6_5_1,0.028417894702139585,132,862
2018-05-13,FL_Monroe_5_4_3_1,0.030706974529873841,132,258
2018-05-13,CA_Riverside_32_11_9_2,0.02567257735428367,132,4882
2018-05-13,WI_Waukesha_5_3_3_1,0.041489290940534787,132,2495
2018-05-13,CO_Adams_4_4_1_1,0.058951315319604812,132,3962
2018-05-13,IL_Will_6_6_3_1,0.049168095971782122,132,5074
2018-05-13,MI_Allegan_4_3_1_2,0.019396587948567107,132,1154
2018-05-13,TX_Harris_42_15_4_7,0.065003835769295915,132,13049
2018-05-13,TX_Collin_12_5_3_4,0.031421731622997877,132,8571
2018-05-13,MN_Olmsted_4_2_1_1,0.019048964883770225,132,1348
2018-05-13,TX_Collin_12_5_5_1,0.10009218792679596,132,5863
2018-05-13,WA_King_37_10_8_2,0.029973133325870368,132,4284
2018-05-13,FL_Orange_19_8_2_4,0.2518406514142828,132,47135
2018-05-13,CT_NewHaven_11_8_2_1,0.038684319404220111,132,1309
2018-05-13,TX_Rockwall_1_1_1_1,0.055043095543737396,132,6003
2018-05-13,GA_DeKalb_9_4_2_1,0.048980790407439127,132,10008
2018-05-13,IL_DeKalb_4_2_1_1,0.028289411542457732,132,599
2018-05-13,CO_Denver_13_2_1_1,0.04053215994329927,132,2745
2018-05-13,WA_Snohomish_8_5_3_4,0.01922513776610377,132,4333
2018-05-13,MD_PrinceGeorge's_11_6_1_1,0.064162470073474781,132,3886
2018-05-13,ID_Madison_3_1_1_3,0.024813835593179227,132,1023
2018-05-13,MI_Washtenaw_5_2_2_1,0.04291166077738516,132,1518
2018-05-13,NY_NewYork_27_9_1_3,0.0701204757902244,132,8259
2018-05-13,FL_Escambia_4_2_1_1,0.25003134796238247,132,1994
2018-05-13,GA_Fulton_15_4_4_1,0.044779798904717463,132,2543
2018-05-14,NC_Cabarrus_3_1_1_3,0.06086861303877688,133,13341
2018-05-14,IL_Kane_6_4_2_1,0.056717845580300207,133,4625
2018-05-14,WA_Snohomish_8_5_3_4,0.049498185303174166,133,11156
2018-05-14,GA_Fulton_15_4_4_1,0.085174945852189682,133,4837
2018-05-14,NY_Ulster_5_5_5_1,0.051564616479555528,133,2246
2018-05-14,FL_Escambia_4_2_1_1,0.245141065830721,133,1955
2018-05-14,MI_Saginaw_4_2_2_1,0.10979696432091465,133,3342
2018-05-14,OK_Tulsa_11_3_1_1,0.073636628754738989,133,7070
2018-05-14,CA_SanBernardino_25_11_3_4,0.092647843780950243,133,30028
2018-05-14,MI_Berrien_4_4_4_1,0.035448070233559718,133,1712
2018-05-14,TX_Rockwall_1_1_1_1,0.077544470933431142,133,8457
2018-05-14,GA_DeKalb_9_4_2_1,0.076760063624128225,133,15684
2018-05-14,KS_Ellis_1_1_1_1,0.02614180408845657,133,688
2018-05-14,CT_NewHaven_11_8_3_1,0.050167722698471862,133,6057
2018-05-14,CA_SantaBarbara_13_4_2_3,0.035032873533582573,133,5435
2018-05-14,FL_Okaloosa_5_3_3_1,0.10208145736648888,133,5895
2018-05-14,TN_Sullivan_4_3_2_2,0.055049174736124008,133,2905
2018-05-14,LA_Cameron_1_1_1_1,0.21206519394891704,133,6883
2018-05-14,TX_Bexar_23_7_3_1,0.047159466703797823,133,5419
2018-05-14,PA_Northampton_5_5_4_1,0.42539213270920589,133,5180
2018-05-14,MN_Hennepin_19_6_5_1,0.093001021989252627,133,2821
2018-05-14,TX_Harris_42_15_11_3,0.096135147511777735,133,15325
